,Faculty of Engineering and Technology,,,,,,
,School of Computer Science and Engineering,,,,,,
,Department of Computer Science and Applications,,,,,,
9,VY503(Class),8.30-10.30,FYBCA - A,FYBCA - A,FYBCA - A,FYBCA - A,FYBCA - A
,,10.30-11.30,FYBCA - A,FYBCA - A,FYMCA - B,FYMCA - A,FYMCA - A
,,11.30-3.30,FYMCA - A,FYMCA - A,FYMCA - A,FYMCA - A,FYMCA - A
,,3.30-5.30,SYMSC CS (Elective),SYMSC CS (Elective),SYMSC CS (Elective),FYMCA - A (3:30-4:30),FYMCA - A (3:30-4:30)
10,VY 504(Class),8.30-10.30,FYBCA - B,FYBCA - B,FYBCA - B,FYBCA - B,FYBCA - B
,,10.30-11.30,SYBCA(PEACE),FYMCA - C,SYBCA (PEACE),FYBCA - B,FYBCA - B
,,11.30-3.30,FYMCA - B,FYMCA - B,FYMCA - B,FYMCA - B,FYMCA - B
,,3.30-5.30,"FYMCA - B (3:30 - 4:30)
SYMCA (ELECTIVE)","FYMCA - B (3:30 - 4:30)
SYMCA (ELECTIVE)","FYMCA - B (3:30 - 4:30)
SYMCA (ELECTIVE)","FYMCA - B (3:30 - 4:30)
SYMCA (ELECTIVE)","FYMCA - B (3:30 - 4:30)
SYMCA (ELECTIVE)"
11,VY514(Class),8.30-10.30,FYBCA - C,FYBCA - C,FYBCA - C,FYBCA - C,FYBCA - C
,,10.30-11.30,FYMCA - C,FYBCA - C,FYBCA - C,TYDSBDA ,TYDSBDA 
,,11.30-3.30,FYMCA - C,FYMCA - C,FYMCA - C,FYMCA - C,FYMCA - C
,,3.30-5.30,"FYMCA - C (3:30-4:30)
SYMCA (ELECTIVE)","
SYMCA (ELECTIVE)","FYMCA - C (3:30-4:30)
SYMCA (ELECTIVE)","FYMCA - C (3:30-4:30)
SYMCA (ELECTIVE)",SYMCA (ELECTIVE)
12,VY515(Class),8.30-10.30,FYBCA - D,FYBCA - D,FYBCA - D,FYBCA - D,FYBCA - D
,,10.30-11.30,FYMCA - D,TYDSBDA ,FYBCA - D,FYBCA - D,SYMCA (ELECTIVE)
,,11.30-3.30,FYMCA - D,FYMCA - D,FYMCA - D,FYMCA - D,FYMCA - D
