School of Computer Science and Engineering,,,,,,,,
School of Computer Science and Engineering,,,,,,,,
Department of Computer Science and Applications,,,,,,,,
"LAB ALLOCATION  (I,III,V,VII) ( 2025-26 )",,,,,,,,
,,,,,,,,
SR NO.,Room No,Capacity,Time,Mon,Tue,Wed,Thu,Fri
,,,2.30-4.30,,,,SYBSC CS (BATCH F),
12,VY512 (LAB),32,8.30-10.30,BCA HONOURS,BCA HONOURS,BCA HONOURS,BCA HONOURS,BCA HONOURS
,,,10.30-12.30,BCA HONOURS,BCA HONOURS,BCA HONOURS,BCA HONOURS,BCA HONOURS
,,,12.30-2.30,FYMSC BT,FYMSC BT,FYMSC BT,FYMSC BT,FYMSC BT
,,,2.30-5.30,FYMSC BT,FYMSC BT,FYMSC BT,FYMSC BT,FYMSC BT
13,VY513 (LAB),32,8.30-10.30,BSCDSBDA HONORS,BSCDSBDA HONORS,BSCDSBDA HONORS,BSCDSBDA HONORS,BSCDSBDA HONORS
,,,10.30-1.30,BSCDSBDA HONORS,BSCDSBDA HONORS,BSCDSBDA HONORS,BSCDSBDA HONORS,BSCDSBDA HONORS
,,,12.30-1.30,CLOUD HONOURS (1.30-3.30),BCA HONOURS,CLOUD HONOURS (1.30-2.30),,
,,,1.30-2.30,CLOUD HONOURS (1.30-3.30),CLOUD HONOURS (2.30-4.30),CLOUD HONOURS (2.30-4.30),CLOUD HONOURS (1.30-3.30),CLOUD HONOURS (1.30-3.30)
,,,2.30-5.30,,CLOUD HONOURS (2.30-4.30),,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Time Table 
Committee","Dr Anuradha Kanade
Program Director
DOCSA
MIT-WPU",,"Dr.Sharmishtha Desai
Associate Dean
Academics
SOCSE
MIT-WPU",,"Prof.Dr Shubhlaxmi Joshi
Associate Dean
Faculty Affairs
SOCSE
MIT-WPU",,"Prof.Dr.Siddharth Chakarbarti
Dean
FOET
MIT-WPU",
